ASIN,Rating,Title,Body,Date
B0C2PNWDGZ,5,Met or exceeded expectations,Expected to work as described and it did. In fact it exceeded my expectations. We have a golden retriever that sheds and this thing really picked up the dog hair. The vacuum would occasionally get hung up on an electrical chord but was easy to untangle. Really like it.,"Reviewed in the United States on November 25, 2024"
B0C2PNWDGZ,5,Works great so far,"Easy setup, no complaints after about a month of solid, multiple time a day use, and constant abuse by our two toddlers. Quieter than our last one and I like that it’s got the sucking power instead of a rolling brush, I feel like that works better and isn’t constantly getting clogged with hair. Quick shipping, and incredibly reasonably priced as it was also on sale when I bought it. Hopefully it lasts a while because we like it so far.","Reviewed in the United States on November 11, 2024"
B0C2PNWDGZ,5,Great Price and works great.,"At first, I didn't think I was going to be able to put it together, but there were very directions with it and I got it together quickly. I like how thoroughly it goes over the wood and the carpet. Because my sofa is high enough, it can go under it easily too. It is a great product for the price. I'm in my 80s so this is a very helpful item for housekeeping.","Reviewed in the United States on November 12, 2024"
B0C2PNWDGZ,5,bought for the bedrooms,"I use the 4000 pa vac with the mopping for my hardwood floors and the kitchen. I definitely use it more than I ever vacuumed the normal way. So I decided to buy the same brand, but without mopping feature for the bedrooms. And I already love it. It works well for carpet as well as for the vinyl part. It's just so easy to switch it on and so satisfying to empty the vacuum and see all the dirt collected. I am happy with it.","Reviewed in the United States on November 3, 2024"
B0C2PNWDGZ,5,"Strong suction, and deals with the hair issues that others have","I have been using a competitor for years and regularly run the other model On the same floor. This one doesn’t have a center brush which is my biggest issue with my other vacuums, when the brush gets full of hair. Suction is reasonable and good for the price","Reviewed in the United States on November 19, 2024"
B0C2PNWDGZ,5,Get what you pay for,"This may not the the biggest or most powerful robot on the market, but as far as bang-for-the-buck, this is a great buy if you have a smaller home or are new to the robot vacuum world, or maybe just on the fence about inviting a little robotic assistant into your home. My family all likes this little guy, and it's made cleaning up more fun -- I can even get the kids excited to pick up their things if they know the robot is coming out!","Reviewed in the United States on October 31, 2024"
B0C2PNWDGZ,5,Great vaccum,I have been wanting a robotic vaccum for a while now but was little sceptical because of my previous experience of using one. The set up is very easy. I like that it can work with the app and with the remote as well . It does the work without having to spend a bomb .,"Reviewed in the United States on November 12, 2024"
B0C2PNWDGZ,5,it runs very quietly,"I liked the low price. I liked the long lasting battery, the way the carpets looked after vacuuming . I liked the easy removal of the dirt catcher and the way it always docks itself when battery need too recharge . I cannot think of anything I did not like. Very good sweeper for a very good price","Reviewed in the United States on November 9, 2024"
B0C2PNWDGZ,5,Good price!,This was a gift from me to my son who lives overseas and he really likes the way that this vacuum helped him. 5/5,"Reviewed in the United States on November 30, 2024"
B0C2PNWDGZ,5,High suction.,"Works great using remote.cleans easily, multiple filters keeps discharge air clean. It does not have brushes so better application on hard surface or woven carpet. We have shedding dog and it removes hair well.","Reviewed in the United States on November 23, 2024"
B0C2PNWDGZ,5,Great value for the money,"Really happy with it,works well it's like having a cleaning partner,helps a lot especially if you are a busy mom","Reviewed in the United States on December 1, 2024"
B0C2PNWDGZ,5,Good Little Vacuum,"I like this model because it is programmable, easy to set up, and it detects my steps and I do not have to put up a barrier. I would absolutely buy this again. Good customer service.","Reviewed in the United States on November 18, 2024"
B0C2PNWDGZ,5,Great to clean up dog hair,Vacuum is a life changer. I just got a chocolate lab that sheds so much and this vacuum has made it so much more manageable to clean up the hair . Battery life is long enough to do my house. I would definitely recommend to buy with anyone that has a pet,"Reviewed in the United States on November 10, 2024"
B0C2PNWDGZ,5,Robot Vacuum moves!,Just got this today and this robot vacuum got to work! It is simple to use and install. Even includes an application that you can connect to a google mini or Alexa. I was very impressed with the vacuum because it got every corner and missed spot. This is my very first robot vacuum and I would say it's worth it to get it if you don't want to do chores. I recommend it!,"Reviewed in the United States on October 30, 2024"
B0C2PNWDGZ,5,Great vacuum,"This is a really good vacuum, you can set a time for it to start and it cleans really well. The vacuum is totally worth it and it's such a great price.","Reviewed in the United States on November 19, 2024"
B0C2PNWDGZ,5,best,shop them all this was rated great and everything they said is true.. its worth the money and its great. thanks,"Reviewed in the United States on November 24, 2024"
B0C2PNWDGZ,5,Good product,"This is our first ROBO vac. It is for an upstairs, low-traffic, low pile carpet in two bedrooms, a dressing area, and a hallway. It is set for a weekly cleaning. It does an amazing job!","Reviewed in the United States on November 11, 2024"
B0C2PNWDGZ,5,Best Vacuum !!,This is so easy to use and convenient to use from the app! It picks up my pet hair so easily and I don’t have to dedicate time to vacuum now that I have this,"Reviewed in the United States on November 11, 2024"
B0C2PNWDGZ,5,So cool,I’ve been eyeing this vacuum after seeing my friend have one because I thought it was super cool. Finally placed the order and I love it! Such a life saver on busy days for a quick clean.,"Reviewed in the United States on November 1, 2024"
B0C2PNWDGZ,5,Great little vacuum,Great little vacuum. Helps to keep the house clean between major cleanings. Love that it returns to base to charge itself,"Reviewed in the United States on November 15, 2024"
B0C2PNWDGZ,5,Affordable and works great,"My husband was skeptical about these working well, but I really wanted to try it. We are both surprised at how much it picks up. It's great for in between deeper cleaning to keep our place vacuumed. Overall great vacuum for an affordable pricetag.","Reviewed in the United States on November 1, 2024"
B0C2PNWDGZ,5,Awesome!,I had 2 Eufy's and was skeptical to buy this one. It's totally amazing!!! I love no brush since I only have tile floors. Works better than my other ones!,"Reviewed in the United States on November 8, 2024"
B0C2PNWDGZ,5,Awesome,Does exactly what it should. I love that it goes under furniture and picks up the forgotten dust bunnies!!!!!,"Reviewed in the United States on November 11, 2024"
B0C2PNWDGZ,5,Awesome!,I love that it picks up all the pet hair !! I just bought another for my daughter !,"Reviewed in the United States on November 15, 2024"
B0C2PNWDGZ,5,Small one,After dinner my kids use it as toy remote car and clean the dinning area in fun way.,"Reviewed in the United States on November 11, 2024"
B0C2PNWDGZ,5,My best helper,"Works and moves very well, very convenient to use takes away dust and food crumbs and has good battery and can easily setup","Reviewed in the United States on November 7, 2024"
B0C2PNWDGZ,5,Ayudante,Me encanta y demasiado util,"Reviewed in the United States on November 19, 2024"
B0C2PNWDGZ,5,Very helpful with toddler at home,"It works great, pick up hair and food crumbs I really like it very helpful with every day smart cleaning and move easily every where","Reviewed in the United States on November 6, 2024"
B0C2PNWDGZ,5,Amazing product,This product was really fantastic and it did a good job at cleaning. Would recommend it 💯,"Reviewed in the United States on November 9, 2024"
B0C2PNWDGZ,5,Perfect!!!,"I have 3 labs who are constantly shedding, this little vacuum does the job!","Reviewed in the United States on November 10, 2024"
B0C2PNWDGZ,5,Buy it!,Great vacuum. Quiet and does an excellent job picking up pet hair.,"Reviewed in the United States on November 9, 2024"
B0C2PNWDGZ,5,Great little helper,"Play Video Great little helper that helps to keep the house clean. With kids in the house there is always some kind of dirt on the floor and this little rob vacuum picks it right up. Does not seem to get stuck, detects objects and walls easily and the random cleaning feature does a good job. It finds the base station easily and the best part is that you can control it from the app (even when not home!!!) and also comes with a remote. Battery life is sufficient and lasts for cleaning the whole house. Very happy with it.","Reviewed in the United States on November 1, 2024"
B0C2PNWDGZ,5,Works well,Works well with fine particles on the floor,"Reviewed in the United States on November 8, 2024"
B0C2PNWDGZ,5,Good value for money,"Here are pros and cons with this vacuum Pros: very easy to setup, literally ready to go in less than 2 mins. Form factor is right and not too bulky. Decent suction power and is able to pickup normal trash from both hardwood and carpets. It climbed from carpet to rug without any issues. It does awesome job to dock itself to the charging station. Cons: I did not expect it would to ace the mapping of the room. But it does go in random sequence in our room as part of cleaning process Overall this is good value for money.","Reviewed in the United States on November 2, 2024"
B0C2PNWDGZ,5,Great,Easy to set up and app is great,"Reviewed in the United States on October 30, 2024"
B0C2PNWDGZ,5,Simple and easy to use,"When I was searching for a mid-grade robo-vacuum for our basement, I was ""floored"" by how many are on Amazon. Many are the same one, but re-branded with some other random app and name. I landed on this one, not because of the name (which is hard enough to even say), but because it didn't look like a typical knock-off. I already have a high-end vacuum for our main floor (w/ a self-empty unit), so I know how these things operate. The app for this one is very simple to use. I was able to easily detect the vacuum and add it to the app. No issues there, I didn't even need to use the directions. In terms of how it works, there are no rollers, it is just a sucking vacuum. Good or bad you decide, but for my basement, this is what we needed. We have mostly finished space, but with hard floor, not much carpet. So no need for a roller for us. I've found it sucks up dust, dog hair (lots of it), and minor debris quite easily. It finds it base when its done and recharges. I have it running every 2 days and I empty it once a week. If I don't empty it and it fills up, sometimes it will drop a clump of dog hair, but that's my fault, I just need to remember to empty it. All in all, for this price point, I would recommend it. Again, it depends on your space and what features you are looking for. But if you need something simple and reliable, and quite inexpensive. This one is worth a go.","Reviewed in the United States on November 1, 2023"
B0C2PNWDGZ,5,"Great vacuum, great app, great performance!","This vacuum has exceeded all expectations. You can’t beat the price point. I basically hired a year round cleaner for $110. I really like that there is no roller brush. It doesn’t have a problem with picking everything up. The suction on it is great and as you can see in the picture I posted, it is efficient. The picture was once cleaning cycle on hardwood floors. I have owned other brands of robot vacuums and the roller brush always needs to be taken apart and cleaner after 2-3 uses. It has also caused malfunctions due to the motor getting worn out which made those other vacuums inoperable. I don’t have to worry about that with this one. The collection tray is very convenient and easy to empty. The vacuum can maneuver really well and is quiet. The app that pairs to the vacuum is great. It really compliments it well. You can select different modes, see how long it has been cleaning, and see what percentage of the battery is left or status of charge. The app lets you activate the vacuum from anywhere or set a cleaning schedule. When I’m away from the house I can open the app and select a mode and when I get home the floors are clean! Using the app is a must!! Overall, you can’t beat the performance or price point of this robot vacuum. It performs the same as the other high end vacuums for a fraction of the cost. You could buy 3 for the price of one and now you have a fleet cleaning your house rather than just one. I am strongly considering ordering another one.","Reviewed in the United States on October 26, 2023"
B0C2PNWDGZ,5,"ROPVACNIC Robot Vacuum Cleaner, Tangle-Free, Slim, Quiet, Self-Charging Robotic Vacuum","I had been wanting a robot vacuum for a long time, with 2 kids, a dog, and a cat there’s always hair and dirt and crumbs everywhere. It’s so convenient to have the floors cleaned while I’m doing laundry or watching TV and it saves me so much time. It’s not perfect, it will not get around the walls perfectly, but it does an excellent job going from wood to rug to carpet. I was shocked and disgusted by the amount of dirt it picked up the first time. It’s definitely worth the money to me. It’s not too loud, I sometimes fall asleep while it is going the cleaning. It will periodically bump into furniture and gets under my dining room table with all the chairs and somehow makes it out. I’d definitely recommend getting one or two because this is my second one.","Reviewed in the United States on October 22, 2023"
B0C2PNWDGZ,5,Great Vacuum,This vacuum does a great job. It works just as well as the more expensive models. I run it every day and I’m very happy with how clean it keeps my house. I love the convenience of these vacuums that take over one of my chores for me! My absolute favorite feature of this model is that it only beeps twice when it gets stuck somewhere. Other models I have had beep up to 20 times which is just unnecessary and wakes my sleeping babies when I run it at nap time. This model doesn’t do that. Just two small beeps then it’s done. Very happy with this product!,"Reviewed in the United States on November 5, 2023"
B0C2PNWDGZ,5,Easy to Operate and fully Automatic,Play Video My wife is Disabled and this Vacuum is a game changer. We love it. ❤️ you press auto and the vacuum takes off. I set up boundaries with boxes or I just let it go. After it cleans everything it goes back to it charging cradle until we call on it to clean. It has 2 spinning bristles and a small suction to clean the floor. Do not know how we have lived with out it.. would highly recommend.,"Reviewed in the United States on October 27, 2023"
B0C2PNWDGZ,5,LOVE THIS ROBOT VACUUM!,I have had several robot vacuum cleaners and this is by far my favorite!! Slim enough to go under all my furniture and even gets those tiny little crumbs. We have 3 big dogs that shed something awful and this handy dandy vacuum sucks all of those little hairs up. You will not regret your purchase with this one! It’s the best!!,"Reviewed in the United States on October 22, 2023"
B0C2PNWDGZ,5,Say hi to my little friend!,"Just to let you know, this is the second time I bought this robot, it just works. You can set schedule with the app or do it like I do, telling Alexa to turn it on in 20 minutes and forget it... Yes, forget it, because the robot automatically goes home to recharge.","Reviewed in the United States on November 9, 2023"
B0C2PNWDGZ,5,Actually works,For this great price I was skeptical it would actually do its job. It does! I have hardwoods with a couple rugs and it does it all. I leave it to run when I'm at work and and empty it when I get home. No problems with it yet and easy to use.,"Reviewed in the United States on November 12, 2023"
B0C2PNWDGZ,5,So great I bought another!,Love this little robot vacuum. It's very easy to use and to the point. No extra bells and whistles but does a great job with the basics. Great auto feature and also avoid falling off the stairs! Definitely recommend as a great value for the price!,"Reviewed in the United States on October 30, 2023"
B0C2PNWDGZ,5,"Finally, an easy to use vacuum",I bought this for my 2 story house and I love it! Haven't seen such clean floors and I have teenagers. I run it when they are in school or at night. Super happy with it.,"Reviewed in the United States on December 13, 2023"
B0C2PNWDGZ,5,Robot Video,"I l my robot cause it will keep my floors dust free, always looking clean.","Reviewed in the United States on October 29, 2023"
B0C2PNWDGZ,5,A Rottweiler Family Helper,"Our sweet Rotti leaves ""glitter"" all over the house. It's like little black tumbleweeds constantly rolling in the wind. And let's not even get into the amount of sand he brings in from running, playing and digging in the backyard! My husband bought a commercial sweeper to try and keep our floors clean, but it was a twice a day sweep and still we felt like we weren't touching the problem. My MIL bought us the Ropvanic Robot Vacuum as an early Christmas gift. I cannot believe the incredible change I have seen with just a 3 times a day vacuuming of the house. I don't see glitter anymore. I can walk barefoot in my own home and not feel like I've been at the beach. My husband is floored and just so excited to not have to sweep constantly anymore. I programmed the unit (very easily) to sweep 3 times a day. It's actually pretty quiet. I was worried, as I work on the phones from home. I can easily work without any issues and I can even watch tv without turning it up higher. It's not even a quarter loud as my regular vacuum. I will never live without a robot vacuum again! I'm considering trying out their mopping version as well! Very good Ropvacnic! So glad my MIL gifted this to us!","Reviewed in the United States on November 14, 2024"
B0C2PNWDGZ,5,Great great value,"Decided to go for the cheaper option when I saw this vacuum on sale. The value for money so far is incredible. I can’t imagine the much much more expensive robot vacuums do significantly better. I have hardwood floors and carpets and it works great, self charges, and it sucks up anything: pet hair, dust, cardboard, crumbs. I usually don’t write amazon reviews but this little guy is very much worth the relatively inexpensive price tag. I even gave him a name! Bojack!!","Reviewed in the United States on November 27, 2024"
B0C2PNWDGZ,5,Great little vacuum,"This is our first robot vacuum and we are impressed. Bought it with a coupon and code so it was a good price. It does a good job at trapping dirt and seems to do well on low carpet. It’s pretty quiet. Has gotten stuck on a few things so watch out for loose power cords etc. I would say the biggest downside is that we do have to clean the propellers frequently from my long hair, not sure if that would be the same with all vacuums. Overall we have been very pleased!","Reviewed in the United States on December 1, 2024"
B0C2PNWDGZ,5,Love it !!,"This vacuum is the greatest ! Always on schedule and does a fantastic job, my bedroom is a 15x15 and it covers all spaces. No problems with finding its docking station and it just zooms along doing its thing !! Hasn’t gotten caught up on area rugs and it has a remote if you don’t want to link it to your phone. The noise isn’t so bad also. My previous one was much louder. So far, great purchase !!","Reviewed in the United States on November 25, 2024"
B0C2PNWDGZ,5,New gift,I bought this as a gift as we have another one that works well for the upstairs and collects dog hair. It makes a big difference and very easy to use. It makes life easier than vacuuming every day vs only once a week. Highly recommend and more so if you have dogs! Life changer 😀,"Reviewed in the United States on November 25, 2024"
B0C2PNWDGZ,5,SO EASY AND EFFICIENT,I was a little skeptical because of the lower price but this turned out to be better than our older $300 robot vacuum. This thing has amazing suction and lots of space to pick up all the dog hair from our two dogs. It’s so easy to use from the app and set time frames and days you want it to run. It’s not loud like our old one either. Emptying the compartment is very easy to do as well and you don’t have to pick the whole thing up to do it. You just open the top and pull the bin out. I’d highly recommend this to anyone looking for a new robo vacuum. For the price you CAN’T beat it.,"Reviewed in the United States on November 14, 2024"
B0C2PNWDGZ,5,Robot vaccum,Great vacuum. Does not pick up high traffic carpets but does a great job on my wood floors and low profile carpets. I have an alarm set and it runs every night at 9:14. After it’s done it returns back to its home base. Love it,"Reviewed in the United States on November 24, 2024"
B0C2PNWDGZ,5,I LOVE THIS ROBOT VACUUM!,"I was skeptical of buying this since it wasn't as expensive as the bigger brands but i will say it has blown me away! So easy to setup and works very well. It gets all the dust, dog hair and everything else. Goes right by my baseboards and over rugs to the hard wood floors. I was floored at what all it picked up even after running my regular vacuum first. I tell all my friends about it. SO WORTH IT!","Reviewed in the United States on November 21, 2024"
B0C2PNWDGZ,5,Great vacuum,I have been wanting a robot vacuum for awhiile now and could not beat the price. We absolutely love this thing. It goes wherever it wants and returns itself back to the docking station when it needs to recharge. You won't be disappointed with this purchase.,"Reviewed in the United States on November 21, 2024"
B0C2PNWDGZ,5,Love this vacuum!!!,"I’ve been extremely impressed with this robot vacuum cleaner. Not only has it been highly responsive, but the app integration has been seamless, allowing for easy scheduling and monitoring. The vacuum consistently delivers a thorough clean across my floors, picking up dust, hair, and crumbs without missing any spots. What I like about it is it’s smart navigation and ability to return to its dock without any issues. I’ve used other robot vacuums in the past that struggled to find their way back to charge, often getting stuck or needing to be manually adjusted. With this I don’t have to worry about that; it reliably completes its job and returns to the charging station","Reviewed in the United States on November 7, 2024"
B0C2PNWDGZ,5,Love this robo vac,I bought in March 2024. First one I've ever had. I was so surprised at how much it picked up. It still going strong.,"Reviewed in the United States on December 1, 2024"
B0C2PNWDGZ,5,Excelente producto,"Tengo varios perros y hace de maravilla su trabajo, y vincularse con Alexa hace que tenga mucha funcionalidad","Reviewed in the United States on December 2, 2024"
B0C2PNWDGZ,5,Very Nice Vacuum,"For the price, this little piece of tech is outstanding! I've owned a Roomba before, and of course, those are a bit pricy, especially when it comes to replacing the battery. I picked this one because of the price. However, it is very helpful when I consistently run it, and it cuts down on how much pet hair I need to sweep.","Reviewed in the United States on November 15, 2024"
B0C2PNWDGZ,5,perfect for home!,"This is first robot vacuum and it works really well and I am impressed with how efficient it is, I feel super comfortable with the purchase.","Reviewed in the United States on November 27, 2024"
B0C2PNWDGZ,5,Robot vacuum,I absolutely love this robot vacuum. I have it set for certain times and it does its job while I’m gone to work. It seems to pick up nicely.,"Reviewed in the United States on November 15, 2024"
B0C2PNWDGZ,5,Quiet robot!,"I love my new robot vacuum, it’s very quiet and does the job! The dust bin is easy to remove & empty. A nice feature is that it has two brushes to catch dust instead of one like previous vacuums I’ve owned.","Reviewed in the United States on November 15, 2024"
B0C2PNWDGZ,5,cleans very well,"Did not dislike anything, it does what it is supposed to do.","Reviewed in the United States on November 26, 2024"
B0C2PNWDGZ,5,Great Little Robot Vaccuum - Tip: Use warm water to straighten twisted bristles,"This is a simple and effective Vaccuum. It was super easy to set up and worked out of the box. Little tip - if the little brushes get twisted up, just soak them in hot water and they straighten out/are as good as new!","Reviewed in the United States on November 14, 2024"
B0C2PNWDGZ,5,Works great,Bought this with minimal expectation and was quite surprised. Super quiet and picks up great,"Reviewed in the United States on November 14, 2024"
B0C2PNWDGZ,5,Best thing ever,"Love this product it saves me lots of work, 100% recommended.","Reviewed in the United States on November 15, 2024"
B0C2PNWDGZ,5,Great Product,"I purchased this vacuum as a gift for my daughter and she loves it. It met her expectations. The instructions were simple and easy to follow. My daughter also stated that the battery has long life. The remote is an added bonus. This vacuum works well, has a large capacity. Did I mention the filter is easy to clean. I highly recommend this product","Reviewed in the United States on November 7, 2024"
B0C2PNWDGZ,5,Nice Little Vac,Nice little vacuum. Working well for us.,"Reviewed in the United States on November 8, 2024"
B0C2PNWDGZ,5,Great product,I absolutely love my robot vacuum cleaner. It works good. I will give it a 10 out of 10 all day every day.,"Reviewed in the United States on November 7, 2024"
B0C2PNWDGZ,5,This is perfect,Perfect leave the floor spotless,"Reviewed in the United States on November 7, 2024"
B0C2PNWDGZ,5,Great value robot,Just received this product so far so good did a great job cleaning my downstairs great app as well,"Reviewed in the United States on November 7, 2024"
B0C2PNWDGZ,5,Great product,Extremely happy with this purchase. It picks up well and is very easy to operate and set up,"Reviewed in the United States on November 7, 2024"
B0C2PNWDGZ,5,So nice!,"The cleaner is perfect to have ""working"" while I am at work!","Reviewed in the United States on November 8, 2024"
B0C2PNWDGZ,5,Does the Job!!,"So glad I took a chance on this robot vacuum cleaner! It's affordable and really does what it's supposed to do. It's quiet, easy to use, and efficient. When it's running out of battery, it returns to it's base. So far, we are happy with this product.","Reviewed in the United States on November 21, 2024"
B0C2PNWDGZ,5,Love it,Best thing ever. Works very well in my house,"Reviewed in the United States on November 1, 2024"
B0C2PNWDGZ,5,"Great vacuum, app and performance",Does the great job it is supposed to be doing and worth the money.,"Reviewed in the United States on October 28, 2024"
B0C2PNWDGZ,5,Love how quiet the vacuum is!,I love how quiet the vacuum is and it does a great job cleaning the dirt/debris up!,"Reviewed in the United States on November 21, 2024"
B0C2PNWDGZ,5,Amazing!!! Love it!!,"Works wonders, functional, suction is great! Easy to clean afterwards, truly a life saver.","Reviewed in the United States on November 1, 2024"
B0C2PNWDGZ,5,100% recommendable. It is a very quiet and efficient robot,"I am very happy with the robot vacuum cleaner. So much so that I have decided to buy another one to give to a family member. It is a very quiet and very efficient robot. It cleans everything perfectly, and if you have it programmed, it leaves and returns alone to its charging port. You completely forget that this","Reviewed in the United States on October 19, 2023"
B0C2PNWDGZ,5,EASY TO USE,Good quality it doesn't feel cheap and works great the battery last and cleans well,"Reviewed in the United States on October 29, 2024"
B0C2PNWDGZ,5,Voice controls!,"If you've ever wanted to yell at your vacuum to stop or to move out of the way, now you can!","Reviewed in the United States on October 31, 2024"
B0C2PNWDGZ,5,Robot Vacuum Cleaner,"got the vac couple of days ago, took it out and do a test drive. It did well with cleaning the floor and vac up all the dirt and hair my cat deposits. There are some issue that i hope they can make it better. The software is not very polished, it keeps on hitting the wall, its like it does not know how to move around obstacles. hopefully the software will improve, how do i get an update on the software? another issue is the wheels, it gets tangle by small ribbons, so need to clear the floor.","Reviewed in the United States on November 3, 2024"
B0C2PNWDGZ,5,Make life easier,This cleaner will save your time,"Reviewed in the United States on October 31, 2024"
B0C2PNWDGZ,5,Great Vacuum at affordable price,This vacuum offers outstanding value for its price and performs exceptionally well. Its modern design and solid build quality exceed expectations. This handy device has made maintaining a tidy home so much simpler. I highly recommend it!,"Reviewed in the United States on November 1, 2024"
B0C2PNWDGZ,5,Good deal,"This robovacuum effortlessly cleans my floors, saving me time and energy. Recommended!","Reviewed in the United States on October 29, 2024"
B0C2PNWDGZ,5,Totally worth it,Totally worth it,"Reviewed in the United States on December 4, 2024"
